"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Total fisheries production (metric tons)","ER.FSH.PROD.MT","200","200","300","300","300","300","300","400","400","400","400","400","400","500","550","600","650","700","770","770","770","770","770","770","770","770","700","620","550","480","420","350","300","260","260","140","160","205","182","175","163","163","163","160","162","162","145","159","151","163","153","168","138","142","142","142","142","","","",
"Afghanistan","AFG","Total fisheries production (metric tons)","ER.FSH.PROD.MT","200","300","300","300","300","300","300","400","400","460","460","560","560","560","560","660","770","770","770","770","870","870","870","970","970","970","970","1170","1170","1170","1400","1400","1500","1500","1600","1600","1600","1550","1500","1500","1300","1250","1350","1350","1450","1450","1450","2050","2050","2050","2050","2050","2050","2050","2100","2150","2200","","","",
"Angola","AGO","Total fisheries production (metric tons)","ER.FSH.PROD.MT","257300","246800","274800","245300","362000","263300","335300","299300","303100","425200","374501","324322","606656","478659","399784","160581","81542","120407","125630","113072","85085","130957","111488","110376","95188","100093","84660","107490","126031","137465","133088","117104","113625","126200","132413","122781","137815","146304","163149","175799","239356","254564","255494","212105","240094","202742","225897","306626","306050","272302","310310","342310","374310","407057","442389","496104","487145","","","",
"Albania","ALB","Total fisheries production (metric tons)","ER.FSH.PROD.MT","2600","3200","2800","3000","3000","4000","4000","5000","6000","7000","8000","8000","8000","8000","8500","8500","8500","8500","9000","9000","9000","9376","9511","9815","8006","11399","11922.2","13134.4","14559.3","11961.4","15015.6","3871","3093.2","2889","2495","1720.3","2449.2","1110.8","2807.5","3057.9","3635","3597.2","4516.8","4274.6","6118.5","6473","7709.3","7505.4","7365","8128","7636.2","6827.2","10649.2","11078.5","11476.7","9472.5","8835.7","","","",
"Andorra","AND","Total fisheries production (metric tons)","ER.FSH.PROD.MT","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Arab World","ARB","Total fisheries production (metric tons)","ER.FSH.PROD.MT","479480","510298","536670","547412","600475","598028","700226","646034","620421","640537","693688","711866","761306","931555","909836","875645","948255","921432","928623.9","959106.8","1010701.1","1064491.1","1062279.6","1210191.249","1234053.836","1325989.02","1474114.571","1476874.06","1637974.7","1559021.32","1606025.06","1659237.55","1648220.81","1742518.35","1955875.51","2111049.72","1901250.81","2112098.5","2150377.7","2306894.93","2571907.93","2933991.6","2865191.47","2989435.22","3105230.5","3267636.1","3122025.4","3168870.7","3248191.765","3532306.56","3733628.73","3653198.624","4052654.72","4191240.6","4290512.91","4346243.99","4841114.06","","","",
"United Arab Emirates","ARE","Total fisheries production (metric tons)","ER.FSH.PROD.MT","30000","30000","35000","35000","35000","38000","38000","40000","40000","40000","40000","43000","43000","43000","67800","67800","64600","64600","64600","64600","64600","67760","69755","72716","72723","72267","79328","85252","89506","91162","95129","92336","95046","99600","108600","105884","107000","114358","114739","117607","105456","112561","97574","97450","90570","87325","101013","97097","75418","77835","79808","75562","73148","73780","73991","73790","74240.9","","","",
"Argentina","ARG","Total fisheries production (metric tons)","ER.FSH.PROD.MT","103800","101900","101307","130573","168608","205005","250805","240868","223132","202815","214519","228631","237975","302020","296001","232251","281776","402780","541959","580735","400101","374882","488235","428207","322692","419724","422663","461892","496394","494983","561157","642671","745984","985251","1000460","1176947","1291387","1390864","1166429","1088144","923584","932421","947642","911847","946694","931994","1174508","988366","997783","864557","814403.3","796501.2","741018.4","874530.1","833937.7","817962.7","758899.5","","","",
"Armenia","ARM","Total fisheries production (metric tons)","ER.FSH.PROD.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7017","7342","7755","4570","4450","4100","2603","1941","1230","1250","1135","2033","2026","2197","1485","1633","1031","989","1406","4715","5701","5859","5617","7095","9711","15799","18720","23270","20139","","","",
"American Samoa","ASM","Total fisheries production (metric tons)","ER.FSH.PROD.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","100","82","136","113","202","193","183","148","153","112","112","152","118","181","78","123","102","42","50","60","40","132","176","225","448","610","554","851","3677","6949","5099","4051","4029","5367","6537","4442","4962","5328","4921","6129","3293","2599","3177","3067","","","",
